ts_utc,symbol,round_id,poll_price,ws_price,price_delta,chain_updated_at,poll_wall_ts,ws_wall_ts,poll_lag_s,ws_lag_s,delta_ms,faster
2026-03-31T09:41:23,SOL,36893488147423038066,81.76128,81.76128,0.0,1774950079,1774950081.422599,1774950083.065605,2.423,4.066,1643.0,poll
2026-03-31T09:41:25,XRP,36893488147422507788,1.30825,1.30825,0.0,1774950081,1774950084.9045472,1774950085.0050106,3.905,4.005,100.5,poll
2026-03-31T09:41:35,BTC,55340232221132071731,66401.62527,66401.62527,0.0,1774950093,1774950095.7566276,1774950095.655906,2.757,2.656,-100.7,ws
2026-03-31T09:41:48,ETH,55340232221132099662,2027.43097142,2027.43097142,0.0,1774950105,1774950107.1254773,1774950108.2530534,2.125,3.253,1127.6,poll
2026-03-31T09:41:54,SOL,36893488147423038067,81.76833,81.76833,0.0,1774950111,1774950114.183971,1774950112.5503,3.184,1.55,-1633.7,ws
2026-03-31T09:41:55,XRP,36893488147422507789,1.3086,1.3086,0.0,1774950113,1774950115.4179182,1774950114.7005703,2.418,1.701,-717.3,ws
2026-03-31T09:42:13,BTC,55340232221132071732,66393.15,66393.15,0.0,1774950125,1774950133.0334547,1774950133.7468405,8.033,8.747,713.4,poll
2026-03-31T09:42:22,ETH,55340232221132099663,2026.7198036,2026.7198036,0.0,1774950139,1774950141.9477801,1774950142.2506218,2.948,3.251,302.8,poll
2026-03-31T09:42:28,XRP,36893488147422507790,1.30837,1.30837,0.0,1774950147,1774950148.390501,1774950148.905809,1.391,1.906,515.3,poll
2026-03-31T09:42:38,SOL,36893488147423038068,81.72567462,81.72567462,0.0,1774950155,1774950158.338615,1774950156.479753,3.339,1.48,-1858.9,ws
2026-03-31T09:42:40,BTC,55340232221132071733,66375.9,66375.9,0.0,1774950157,1774950158.8330104,1774950160.2681935,1.833,3.268,1435.2,poll
2026-03-31T09:42:54,ETH,55340232221132099664,2025.97,2025.97,0.0,1774950171,1774950174.91286,1774950174.6744263,3.913,3.674,-238.4,ws
2026-03-31T09:43:15,XRP,36893488147422507791,1.30822935,1.30822935,0.0,1774950189,1774950195.3926125,1774950195.0842056,6.393,6.084,-308.4,ws
2026-03-31T09:43:15,SOL,36893488147423038069,81.75816,81.75816,0.0,1774950189,1774950195.8034456,1774950194.7627144,6.803,5.763,-1040.7,ws
2026-03-31T09:43:16,BTC,55340232221132071734,66397.00802476,66397.00802476,0.0,1774950191,1774950196.3145292,1774950196.2155035,5.315,5.216,-99.0,ws
2026-03-31T09:43:27,ETH,55340232221132099665,2029.75839,2029.75839,0.0,1774950205,1774950207.585423,1774950206.7567494,2.585,1.757,-828.7,ws
2026-03-31T09:43:45,BTC,55340232221132071735,66440.29677337,66440.29677337,0.0,1774950223,1774950224.7796695,1774950225.808858,1.78,2.809,1029.2,poll
2026-03-31T09:43:45,XRP,36893488147422507792,1.30961,1.30961,0.0,1774950223,1774950225.9872131,1774950224.8822765,2.987,1.882,-1104.9,ws
2026-03-31T09:43:46,SOL,36893488147423038070,81.78479,81.78479,0.0,1774950221,1774950226.3190408,1774950224.5803761,5.319,3.58,-1738.7,ws
2026-03-31T09:44:00,ETH,55340232221132099666,2028.56615521,2028.56615521,0.0,1774950237,1774950240.6536021,1774950240.1474056,3.654,3.147,-506.2,ws
2026-03-31T09:44:16,SOL,36893488147423038071,81.76214,81.76214,0.0,1774950255,1774950256.8327503,1774950256.7209132,1.833,1.721,-111.8,ws
2026-03-31T09:44:20,BTC,55340232221132071736,66440.88625975,66440.88625975,0.0,1774950257,1774950260.0077696,1774950259.7808685,3.008,2.781,-226.9,ws
2026-03-31T09:44:20,XRP,36893488147422507793,1.30912,1.30912,0.0,1774950257,1774950260.9287608,1774950260.620947,3.929,3.621,-307.8,ws
2026-03-31T09:44:34,ETH,55340232221132099667,2027.98582267,2027.98582267,0.0,1774950271,1774950273.4231923,1774950274.0369825,2.423,3.037,613.8,poll
